,link,regularPrice,promoPrice,availability,categories,rate,numberOfReviews,gender
0,"https://www.rossmann.pl/Produkt/Serum/LOreal-Paris-Age-Perfect-Cell-Renew-serum-do-twarzy-na-noc-30-ml,390628,9225","89,99 zł","58,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Serum,None,None,None
1,"https://www.rossmann.pl/Produkt/Kremy-pod-oczy/LOreal-Paris-Age-Perfect-Cell-Renew-krem-pod-oczy-15-ml,390630,9224","79,99 zł","52,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy pod oczy,None,None,None
2,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Age-Perfect-Cell-Renew-krem-na-dzien-rewitalizujacy-SPF-30-50-ml,390632,9223","79,99 zł","52,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
3,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Age-Perfect-Cell-Renew-krem-na-dzien-rewitalizujacy-50-ml,390629,9223","79,99 zł","52,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
4,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Age-Perfect-Cell-Renew-krem-na-noc-regenerujacy-50-ml,390631,9223","79,99 zł","52,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
5,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Age-Perfect-Zloty-Wiek-rozany-krem-wzmacniajacy-na-dzien-skora-dojrzala-i-pozbawiona,250869,9223","59,99 zł","43,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,4.5,(10 Opinii),kobieta 
6,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Age-Perfect-Zloty-Wiek-bogaty-krem-wzmacniajacy-na-noc-skora-dojrzala-60-50-ml,250871,9223","59,99 zł","43,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,4.0,(15 Opinii),kobieta 
7,"https://www.rossmann.pl/Produkt/Serum/Janda-Collagen-Reconstructor-odmladzajace-serum-odzywka-na-twarz-szyje-i-dekolt-50-ml,331796,9225","53,99 zł","39,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Serum,None,None,None
8,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Janda-Collagen-Reconstructor-krem-pod-oczy-redukujacy-zmarszczki-i-cienie-pod-oczami-15-ml,331792,9223","37,99 zł","27,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
9,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Janda-Collagen-Reconstructor-ujedrniajacy-krem-redukujacy-zmarszczki-z-naturalnym-kolagenem-na-dzie,331788,9223","53,99 zł","39,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,None
10,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Janda-Collagen-Reconstructor-ujedrniajacy-krem-redukujacy-zmarszczki-z-naturalnym-kolagenem-na-noc-,331790,9223","53,99 zł","39,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
11,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Christian-Laurent-Bakuchiol-antygrawitacyjny-krem-lifting-aktywnie-modelujacy-na-dzien-i-na-noc-5,357731,9223","45,99 zł","28,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
12,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Christian-Laurent-Bakuchiol-odmladzajacy-krem-lifting-poprawiajacy-gestosc-skory-na-dzien-i-na-noc,357732,9223","45,99 zł","28,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
13,"https://www.rossmann.pl/Produkt/Kremy-pod-oczy/AA-Technologia-Wieku-5-Repair-50-Aktywny-Lifting-rewitalizujacy-krem-rozswietlajacy-pod-oczy-15-m,381297,9224","21,99 zł","16,49 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy pod oczy,None,None,None
14,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/AA-Technologia-Wieku-5-Repair-50-Aktywny-Lifting-liftingujacy-krem-rozswietlajacy-na-dzien-50-ml,381310,9223","29,99 zł","21,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
15,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/AA-Technologia-Wieku-5-Repair-50-Aktywny-Lifting-regenerujacy-krem-rozswietlajacy-na-noc-50-ml,381311,9223","29,99 zł","21,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
16,"https://www.rossmann.pl/Produkt/Kremy-pod-oczy/LOreal-Paris-Ekspert-Wieku-przeciwzmarszczkowy-krem-pod-oczy-50-15-ml,342678,9224","29,99 zł","16,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy pod oczy,None,None,None
17,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Ekspert-Wieku-50-przeciwzmarszczkowy-krem-liftingujacy-50-50-ml,390616,9223","29,99 zł","16,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
18,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Ekspert-Wieku-50-przeciwzmarszczkowy-krem-ujedrniajacy-na-dzien-50-ml,223565,9223","29,99 zł","16,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,4.5,(6 Opinii),kobieta 
19,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Ekspert-Wieku-50-przeciwzmarszczkowy-krem-ujedrniajacy-na-noc-50-ml,223572,9223","29,99 zł","16,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,5.0,(6 Opinii),kobieta 
20,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Ekspert-Wieku-60-kompleksowy-krem-modelujacy-na-dzien-i-na-noc-twarz-szyja-dekolt,239014,9223","34,99 zł","26,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,5.0,(5 Opinii),kobieta 
21,"https://www.rossmann.pl/Produkt/Kremy-pod-oczy/LOreal-Paris-Ekspert-Wieku-przeciwzmarszczkowy-krem-odbudowujacy-pod-oczy-60-15-ml,342650,9224","29,99 zł","16,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy pod oczy,None,None,None
22,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Ekspert-Wieku-60-przeciwzmarszczkowy-krem-odbudowujacy-na-dzien-50-ml,223574,9223","29,99 zł","16,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,4.5,(6 Opinii),kobieta 
23,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Ekspert-Wieku-60-przeciwzmarszczkowy-krem-odbudowujacy-na-noc-50-ml,223575,9223","29,99 zł","16,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,4.5,(6 Opinii),kobieta 
24,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Ekspert-Wieku-70-przeciwzmarszczkowy-krem-odzywczy-na-dzien-50-ml,258637,9223","29,99 zł","16,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
25,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/LOreal-Paris-Ekspert-Wieku-70-przeciwzmarszczkowy-krem-odzywczy-na-noc-50-ml,258640,9223","29,99 zł","16,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
26,"https://www.rossmann.pl/Produkt/Kremy-pod-oczy/Eveline-Cosmetics-Royal-Snail-skoncentrowany-krem-pod-oczy-i-na-powieki-intensywnie-liftingujacy-,297443,9224","26,99 zł","16,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy pod oczy,None,None,None
27,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Eveline-Cosmetics-Royal-Snail-skoncentrowany-krem-silnie-liftingujacy-na-dzien-i-na-noc-cera-dojr,297435,9223","29,99 zł","17,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
28,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Eveline-Cosmetics-Royal-Snail-skoncentrowany-krem-ultranaprawczy-na-dzien-i-na-noc-cera-dojrzala-,297438,9223","29,99 zł","17,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
29,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Eveline-Cosmetics-Royal-Snail-skoncentrowany-krem-aktywnie-regenerujacy-na-dzien-i-na-noc-cera-do,297439,9223","29,99 zł","17,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
30,"https://www.rossmann.pl/Produkt/Kremy-pod-oczy/AA-Technologia-Wieku-5-Repair-60-Zlota-Kuracja-krem-pod-oczy-napinajaco-odzywczy-15-ml,291430,9224","21,99 zł","16,49 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy pod oczy,None,None,None
31,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/AA-Technologia-Wieku-5-Repair-60-Zlota-Kuracja-ujedrniajacy-krem-wzmacniajacy-na-noc-skora-wrazli,291428,9223","29,99 zł","21,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
32,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/AA-Technologia-Wieku-5-Repair-60-Zlota-Kuracja-krem-przeciwzmarszczkowy-na-dzien-skora-wrazliwa-i,291422,9223","29,99 zł","21,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
33,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/AA-Technologia-Wieku-5-Repair-60-Zlota-Kuracja-regenerujacy-krem-odbudowujacy-na-noc-skora-wrazli,291425,9223","29,99 zł","21,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
34,"https://www.rossmann.pl/Produkt/Kremy-pod-oczy/AA-Technologia-Wieku-5-Repair-70-Intensywne-Odzywienie-krem-pod-oczy-nawilzajaco-odzywczy-15-ml,291438,9224","21,99 zł","16,49 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy pod oczy,None,None,None
35,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/AA-Technologia-Wieku-5-Repair-70-Intensywne-Odzywienie-krem-wzmacniajacy-na-noc-skora-wrazliwa-i-,291437,9223","29,99 zł","21,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
36,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/AA-Technologia-Wieku-5-Repair-70-Intensywne-Odzywienie-krem-intensywnie-regenerujacy-na-dzien-i-na,291434,9223","29,99 zł","21,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
37,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Perfecta-Fenomen-C-nawilzajacy-krem-liftingujacy-na-dzien-i-na-noc-50-SPF-6-50-ml,248613,9223","29,99 zł","21,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,3.5,(5 Opinii),kobieta 
38,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Perfecta-Fenomen-C-regenerujacy-krem-ujedrniajacy-na-dzien-i-na-noc-60-SPF-6-50-ml,248619,9223","29,99 zł","21,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,4.5,(5 Opinii),kobieta 
39,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Perfecta-Fenomen-C-regenerujacy-krem-odbudowujacy-na-dzien-i-na-noc-70-SPF-6-50-ml,276349,9223","29,99 zł","21,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
40,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Bielenda-Royal-Bee-Elixir-przeciwzmarszczkowy-krem-liftingujaco-ujedrniajacy-na-dzien-i-na-noc-50,372618,9223","27,49 zł","19,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
41,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Bielenda-Royal-Bee-Elixir-przeciwzmarszczkowy-krem-koncentrat-aktywnie-regenerujacy-na-dzien-i-n,372617,9223","27,49 zł","19,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
42,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Bielenda-Royal-Bee-Elixir-przeciwzmarszczkowy-krem-koncentrat-silnie-odbudowujacy-na-dzien-i-na-,372616,9223","27,49 zł","19,99 zł",DOSTĘPNY ONLINE,Twarz/Pielęgnacja twarzy/Kremy do twarzy,None,None,kobieta 
